episode: 264, episode length: 500, reward: 61.51587275331173
episode: 265, episode length: 500, reward: 94.56363413447465
episode: 266, episode length: 500, reward: 151.35372950959973
episode: 267, episode length: 500, reward: 155.51324744461513
episode: 268, episode length: 500, reward: 122.2458569249411
episode: 269, episode length: 75, reward: -77.08591063019942
episode: 270, episode length: 500, reward: 65.26887348822646
episode: 271, episode length: 500, reward: 118.37539632967066
episode: 272, episode length: 500, reward: 165.3628903306441
episode: 273, episode length: 500, reward: 67.27428472813622
episode: 274, episode length: 500, reward: 3.979116261707412
episode: 275, episode length: 500, reward: 54.325264051509436
episode: 276, episode length: 500, reward: -14.636742356147227
episode: 277, episode length: 500, reward: -23.730431133766174
episode: 278, episode length: 500, reward: 173.13654015063383
episode: 279, episode length: 500, reward: 70.17275721491468
episode: 280, episode length: 500, reward: 198.76202168320341
episode: 281, episode length: 500, reward: -6.319604116511301
episode: 282, episode length: 500, reward: 46.545726401350684
episode: 283, episode length: 500, reward: 180.96358744907445
episode: 284, episode length: 500, reward: 100.20977576950354
episode: 285, episode length: 500, reward: 77.8493183979057
episode: 286, episode length: 367, reward: 39.87305538510722
episode: 287, episode length: 500, reward: 24.280016396885536
episode: 288, episode length: 500, reward: 142.44812890443936
episode: 289, episode length: 500, reward: 147.88613444240792
episode: 290, episode length: 500, reward: 53.74438336441342
episode: 291, episode length: 500, reward: 68.97090761960061
episode: 292, episode length: 500, reward: 15.198966749400263
episode: 293, episode length: 500, reward: 245.84098964885246
episode: 294, episode length: 500, reward: 8.562848380741308
episode: 295, episode length: 500, reward: 42.47746636204887
episode: 296, episode length: 500, reward: 108.97257387917611
episode: 297, episode length: 500, reward: 51.86339821583936
episode: 298, episode length: 500, reward: 56.61561696652264
episode: 299, episode length: 500, reward: 48.6353157504898
episode: 300, episode length: 500, reward: 55.55703334989304
episode: 301, episode length: 500, reward: 156.89904419588356
episode: 302, episode length: 358, reward: 0.035010698528495254
episode: 303, episode length: 500, reward: 107.5796849532111
episode: 304, episode length: 500, reward: 72.15040314721982
episode: 305, episode length: 500, reward: 118.26956266483653
episode: 306, episode length: 500, reward: 22.819870449958636
episode: 307, episode length: 369, reward: 58.169006549502114
episode: 308, episode length: 500, reward: 127.20160533989524
episode: 309, episode length: 67, reward: -93.62359292368471
episode: 310, episode length: 500, reward: 77.51103753246943
episode: 311, episode length: 500, reward: 48.2739719464202
episode: 312, episode length: 271, reward: -3.772275563484797
episode: 313, episode length: 500, reward: 8.496653891404765
episode: 314, episode length: 500, reward: 46.71240614940673
episode: 315, episode length: 94, reward: -83.45513546004767
episode: 316, episode length: 500, reward: 162.93171009986227
episode: 317, episode length: 500, reward: 10.648839803362854
episode: 318, episode length: 500, reward: 117.70372126077007
episode: 319, episode length: 500, reward: 14.138276252661225
episode: 320, episode length: 500, reward: 102.95929709667163
episode: 321, episode length: 500, reward: -3.5092919670865172
episode: 322, episode length: 500, reward: 38.99207593515409
episode: 323, episode length: 500, reward: 38.02460749842293
episode: 324, episode length: 500, reward: 89.92603060155157
episode: 325, episode length: 500, reward: 33.68763712223856
episode: 326, episode length: 500, reward: 86.07368046987634
episode: 327, episode length: 444, reward: 50.25240554736493
episode: 328, episode length: 500, reward: 65.92396410530921
episode: 329, episode length: 341, reward: 80.46802910901312
episode: 330, episode length: 500, reward: 122.57363509195889
episode: 331, episode length: 500, reward: 190.9904401474916
episode: 332, episode length: 500, reward: 120.95664206047117
episode: 333, episode length: 500, reward: 87.99005747689228
episode: 334, episode length: 500, reward: 54.5454150009488
episode: 335, episode length: 500, reward: 227.47346981084326
episode: 336, episode length: 159, reward: 48.275243803592105
episode: 337, episode length: 500, reward: 8.386751691667836
episode: 338, episode length: 500, reward: 51.03314718821545
episode: 339, episode length: 500, reward: 99.72169552455172
episode: 340, episode length: 500, reward: 46.727322452657155
episode: 341, episode length: 500, reward: 23.071518806113307
episode: 342, episode length: 500, reward: 78.5315092944894
episode: 343, episode length: 500, reward: 82.76702471078643
episode: 344, episode length: 500, reward: 176.5634268241934
episode: 345, episode length: 500, reward: 48.25362821194051
episode: 346, episode length: 500, reward: 135.80262152465937
episode: 347, episode length: 500, reward: 31.224931867770476
episode: 348, episode length: 500, reward: -2.170283102542047
episode: 349, episode length: 500, reward: 39.769255575009005
episode: 350, episode length: 500, reward: 6.324709233539115
episode: 351, episode length: 500, reward: 2.143126498341017
episode: 352, episode length: 500, reward: 26.183926919377708
episode: 353, episode length: 500, reward: 137.91635820884323
episode: 354, episode length: 500, reward: 68.48219289698429
episode: 355, episode length: 500, reward: 100.24567331053395
episode: 356, episode length: 500, reward: 65.35444017696642
episode: 357, episode length: 500, reward: -2.3316238570266368
episode: 358, episode length: 500, reward: 60.81520254969199
episode: 359, episode length: 500, reward: 110.43488573814065
episode: 360, episode length: 500, reward: 174.0868265463146
episode: 361, episode length: 500, reward: -0.3446512318614777
episode: 362, episode length: 500, reward: 131.58822827147876
episode: 363, episode length: 500, reward: -21.564633441835156
episode: 364, episode length: 500, reward: 26.68106082267268
episode: 365, episode length: 500, reward: 104.95811508546481
episode: 366, episode length: 500, reward: 95.50755651804856
episode: 367, episode length: 500, reward: 30.757842521872846
episode: 368, episode length: 500, reward: 5.4474221978765724
episode: 369, episode length: 500, reward: 200.86035449928718
episode: 370, episode length: 500, reward: -7.453744348313155
episode: 371, episode length: 500, reward: 114.54422299749154
episode: 372, episode length: 500, reward: 157.93513787178955
episode: 373, episode length: 500, reward: 82.12970620692825
episode: 374, episode length: 500, reward: 65.49016339226162
episode: 375, episode length: 500, reward: 230.44976696400778
episode: 376, episode length: 500, reward: -9.549859142324005
episode: 377, episode length: 500, reward: 105.46652117218503
episode: 378, episode length: 500, reward: -15.576984360610144
episode: 379, episode length: 500, reward: 100.20365054274635
episode: 380, episode length: 500, reward: 76.01831841753099
episode: 381, episode length: 500, reward: 154.31652285197546
episode: 382, episode length: 500, reward: 9.37065256755259
episode: 383, episode length: 500, reward: 61.47403315274447
episode: 384, episode length: 500, reward: 40.263649222443725
episode: 385, episode length: 500, reward: 54.29721795485922
episode: 386, episode length: 500, reward: 40.28204679220076
episode: 387, episode length: 500, reward: 24.293583120628035
episode: 388, episode length: 500, reward: 17.713992578183618
episode: 389, episode length: 10, reward: -90.17888704107234
episode: 390, episode length: 500, reward: 27.27482096713283
